"N","500 MAIN STREET          ","                         ","                         ","COLORADO            ","TESTER1@GMAIL.COM                                 ","11/07/2017","11/07/2017","Y","80203     ","TESTER                                  ","               ","DENVER              ","TESTER1@GMAIL.COM                                 ",""
"N","501 MAIN STREET          ","                         ","                         ","COLORADO            ","TESTER2@GMAIL.COM                                 ","11/07/2017","11/07/2017","Y","80203     ","TESTERR                                 ","               ","DENVER              ","TESTER2@GMAIL.COM                                 ",""
"N","400 MAIN STREET          ","                         ","                         ","COLORADO            ","TESTER4@GMAIL.COM                                 ","11/07/2017","11/07/2017","Y","80203     ","THETESTER                               ","               ","DENVER              ","TESTER4@GMAIL.COM                                 ",""
"N","300 MAIN STREET          ","                         ","                         ","COLORADO            ","TESTER5@GMAIL.COM                                 ","11/07/2017","11/07/2017","Y","80203     ","PANTALENA                               ","               ","DENVER              ","TESTER5@GMAIL.COM                                 ",""
"N","504 MAIN STREET          ","                         ","                         ","COLORADO            ","BETA@FORUMRE.COM                                  ","11/21/2017","11/21/2017","Y","80203     ","PARKDIA                                 ","               ","DENVER              ","BETA@FORUMRE.COM                                  ",""
"N","500 E MAIN STREET        ","                         ","                         ","COLORADO            ","MAILBOX1@GMAIL.COM                                ","12/03/2017","12/03/2017","Y","80203     ","TESTER                                  ","               ","DENVER              ","MAILBOX1@GMAIL.COM                                ",""
"N","40 MAIN STREET           ","                         ","                         ","COLORADO            ","MAILBOX4@GMAIL.COM                                ","12/03/2017","12/03/2017","Y","80203     ","TESTER                                  ","               ","DENVER              ","MAILBOX4@GMAIL.COM                                ",""
"N","100 MAIN STREET          ","                         ","                         ","COLORADO            ","MAILBOX10@GMAIL.COM                               ","12/03/2017","12/03/2017","Y","80203     ","THETESTER                               ","               ","DENVER              ","MAILBOX10@GMAIL.COM                               ",""
"N","50 MAIN STREET           ","                         ","                         ","COLORADO            ","JACK@EMAIL.COM                                    ","12/04/2017","12/04/2017","Y","80203     ","PANTALENA                               ","               ","DENVER              ","JACK@EMAIL.COM                                    ",""
"N","CORDWALLIS ST            ","                         ","                         ","MISSISSIPPI         ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","04/28/2016","08/24/2017","N","12345     ","SAGHIR                                  ","               ","MAIDENHEAD          ","NAVEED.SAGHIR@CHAUNTRY.COM                        ","C"
"N","CORDWALLIS STREET        ","                         ","                         ","WASHINGTON          ","RAY@CHAUNTRY.COM                                  ","12/08/2017","12/08/2017","N","12345     ","VAUGHAN                                 ","               ","MAIDENHEAD          ","RAY@CHAUNTRY.COM                                  ","A"
